"Code Word 0", "Code Word 1", "Code Word 2", "HD0,1", "HD0,2", "HD(1,2)", "Code Word Weight 0", "Code Word Weight 1", "Code Word Weight 2", "Unit weight sum 0", "Unit weight sum 1", "Weight sum 0", "Weight sum 1", "Homeostasis factor", "Positives", "Negatives", "True Positives", "True Negatives", "False Positives", "False Negatives", "Accuracy", "Precision", "Negative Prediction", "Sensitivity", "Specificity"
0,0,31,0,5,5,20,20,10,"[3, 3, 3, 3, 3, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]","[1.1015625 1.1015625 1.1015625 1.1015625 1.1015625 0.734375  0.734375
 0.734375  0.734375  0.734375 ]","[0.        0.        0.        0.        0.        0.3671875 0.3671875
 0.3671875 0.3671875 0.3671875]",4.187059999999998,62,962,2,962,60,0,0.94140625,0.03225806451612903,1.0,1.0,0.9412915851272016
0,3,5,2,2,2,22,22,22,"[3, 3, 3, 3, 3, 3, 3, 2, 2, 1]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 2]","[1.1015625 1.1015625 1.1015625 1.1015625 1.1015625 1.1015625 1.1015625
 0.734375  0.734375  0.3671875]","[0.        0.        0.        0.        0.        0.        0.
 0.3671875 0.3671875 0.734375 ]",1.9038200000000005,4,1020,3,1020,1,0,0.9990234375,0.75,1.0,1.0,0.9990205680705191
0,0,3,0,2,2,26,26,22,"[3, 3, 3, 3, 3, 3, 3, 3, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[1.1015625 1.1015625 1.1015625 1.1015625 1.1015625 1.1015625 1.1015625
 1.1015625 0.734375  0.734375 ]","[0.        0.        0.        0.        0.        0.        0.
 0.        0.3671875 0.3671875]",1.9038200000000005,4,1020,2,1020,2,0,0.998046875,0.5,1.0,1.0,0.9980430528375733
0,0,63,0,6,6,18,18,6,"[3, 3, 3, 3, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 1, 1, 1, 1, 1, 1]","[1.1015625 1.1015625 1.1015625 1.1015625 0.734375  0.734375  0.734375
 0.734375  0.734375  0.734375 ]","[0.        0.        0.        0.        0.3671875 0.3671875 0.3671875
 0.3671875 0.3671875 0.3671875]",6.98405,232,792,2,792,230,0,0.775390625,0.008620689655172414,1.0,1.0,0.7749510763209393
0,63,967,6,7,7,4,4,2,"[2, 2, 2, 2, 2, 2, 2, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 2, 2, 2]","[0.734375  0.734375  0.734375  0.734375  0.734375  0.734375  0.734375
 0.3671875 0.3671875 0.3671875]","[0.3671875 0.3671875 0.3671875 0.3671875 0.3671875 0.3671875 0.3671875
 0.734375  0.734375  0.734375 ]",20.94681,386,638,3,638,383,0,0.6259765625,0.007772020725388601,1.0,1.0,0.6248775710088149
0,3,253,2,7,7,12,12,2,"[3, 3, 2, 2, 2, 2, 2, 2, 2, 1]","[0, 0, 1, 1, 1, 1, 1, 1, 1, 2]","[1.1015625 1.1015625 0.734375  0.734375  0.734375  0.734375  0.734375
 0.734375  0.734375  0.3671875]","[0.        0.        0.3671875 0.3671875 0.3671875 0.3671875 0.3671875
 0.3671875 0.3671875 0.734375 ]",21.0,433,591,3,591,430,0,0.580078125,0.006928406466512702,1.0,1.0,0.5788442703232125
0,63,963,6,6,8,6,2,2,"[2, 2, 2, 2, 2, 2, 2, 2, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 2, 2]","[0.734375  0.734375  0.734375  0.734375  0.734375  0.734375  0.734375
 0.734375  0.3671875 0.3671875]","[0.3671875 0.3671875 0.3671875 0.3671875 0.3671875 0.3671875 0.3671875
 0.3671875 0.734375  0.734375 ]",20.94681,386,638,3,638,383,0,0.6259765625,0.007772020725388601,1.0,1.0,0.6248775710088149
0,3,1020,2,8,10,10,6,-6,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.734375 0.734375 0.734375 0.734375 0.734375 0.734375 0.734375 0.734375
 0.734375 0.734375]","[0.3671875 0.3671875 0.3671875 0.3671875 0.3671875 0.3671875 0.3671875
 0.3671875 0.3671875 0.3671875]",6.981389999999999,56,968,2,967,54,1,0.9462890625,0.03571428571428571,0.9989669421487604,0.6666666666666666,0.9471106758080313
0,0,1023,0,10,10,10,10,-10,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.734375 0.734375 0.734375 0.734375 0.734375 0.734375 0.734375 0.734375
 0.734375 0.734375]","[0.3671875 0.3671875 0.3671875 0.3671875 0.3671875 0.3671875 0.3671875
 0.3671875 0.3671875 0.3671875]",892.25532,386,638,1,637,385,1,0.623046875,0.0025906735751295338,0.9984326018808778,0.5,0.6232876712328768
0,31,992,5,5,10,10,0,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.734375 0.734375 0.734375 0.734375 0.734375 0.734375 0.734375 0.734375
 0.734375 0.734375]","[0.3671875 0.3671875 0.3671875 0.3671875 0.3671875 0.3671875 0.3671875
 0.3671875 0.3671875 0.3671875]",4.19016,1,1023,1,1021,0,2,0.998046875,1.0,0.9980449657869013,0.3333333333333333,1.0
0,0,15,0,4,4,22,22,14,"[3, 3, 3, 3, 3, 3, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]","[1.1015625 1.1015625 1.1015625 1.1015625 1.1015625 1.1015625 0.734375
 0.734375  0.734375  0.734375 ]","[0.        0.        0.        0.        0.        0.        0.3671875
 0.3671875 0.3671875 0.3671875]",2.9920300000000006,46,978,2,978,44,0,0.95703125,0.043478260869565216,1.0,1.0,0.9569471624266145
0,7,1017,3,8,9,8,6,-4,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 2]","[0.734375  0.734375  0.734375  0.734375  0.734375  0.734375  0.734375
 0.734375  0.734375  0.3671875]","[0.3671875 0.3671875 0.3671875 0.3671875 0.3671875 0.3671875 0.3671875
 0.3671875 0.3671875 0.734375 ]",6.981389999999999,56,968,2,967,54,1,0.9462890625,0.03571428571428571,0.9989669421487604,0.6666666666666666,0.9471106758080313
0,7,504,3,6,9,12,6,0,"[3, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.1015625 0.734375  0.734375  0.734375  0.734375  0.734375  0.734375
 0.734375  0.734375  0.734375 ]","[0.        0.3671875 0.3671875 0.3671875 0.3671875 0.3671875 0.3671875
 0.3671875 0.3671875 0.3671875]",6.981389999999999,131,893,2,892,129,1,0.873046875,0.015267175572519083,0.9988801791713325,0.6666666666666666,0.8736532810969637
0,15,1011,4,8,8,6,6,-2,"[2, 2, 2, 2, 2, 2, 2, 2, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 2, 2]","[0.734375  0.734375  0.734375  0.734375  0.734375  0.734375  0.734375
 0.734375  0.3671875 0.3671875]","[0.3671875 0.3671875 0.3671875 0.3671875 0.3671875 0.3671875 0.3671875
 0.3671875 0.734375  0.734375 ]",6.981389999999999,56,968,2,967,54,1,0.9462890625,0.03571428571428571,0.9989669421487604,0.6666666666666666,0.9471106758080313
0,0,255,0,8,8,14,14,-2,"[3, 3, 2, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]","[1.1015625 1.1015625 0.734375  0.734375  0.734375  0.734375  0.734375
 0.734375  0.734375  0.734375 ]","[0.        0.        0.3671875 0.3671875 0.3671875 0.3671875 0.3671875
 0.3671875 0.3671875 0.3671875]",2.9907000000000004,1,1023,1,1022,0,1,0.9990234375,1.0,0.9990224828934506,0.5,1.0
0,15,1008,4,6,10,10,2,-2,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.734375 0.734375 0.734375 0.734375 0.734375 0.734375 0.734375 0.734375
 0.734375 0.734375]","[0.3671875 0.3671875 0.3671875 0.3671875 0.3671875 0.3671875 0.3671875
 0.3671875 0.3671875 0.3671875]",20.95213,386,638,2,637,384,1,0.6240234375,0.0051813471502590676,0.9984326018808778,0.6666666666666666,0.623898139079334
