HD01, HD02, HD12, CW0, CW1, CW2
9, 6, 5, 0, 511, 543
9, 7, 2, 0, 511, 127
9, 7, 4, 0, 511, 575
9, 8, 1, 0, 511, 255
9, 8, 3, 0, 511, 639
9, 9, 0, 0, 511, 511
9, 9, 2, 0, 511, 767
9, 10, 1, 0, 511, 1023
10, 0, 10, 0, 1023, 0
10, 1, 9, 0, 1023, 1
10, 2, 8, 0, 1023, 3
10, 3, 7, 0, 1023, 7
10, 4, 6, 0, 1023, 15
10, 5, 5, 0, 1023, 31
10, 6, 4, 0, 1023, 63
10, 7, 3, 0, 1023, 127
10, 8, 2, 0, 1023, 255
10, 9, 1, 0, 1023, 511
10, 10, 0, 0, 1023, 1023
